Rank,Name,Neighborhood,Zoning Type,Plot Size,Building Size,Distance to Ocean,Distance to Bay,Max # of Floors,Min # of Floors,Plot Area (m²),Min Building Height (m),Max Building Height (m),Distance to Ocean (m),Distance to Bay (m)
1,NX-1,Nexus,Legendary,Giga,Megatall,Close,Far,113,91,8696,455,568,294,1052
2,FL-163,Flashing Lights,Legendary,Giga,Megatall,Medium,Far,105,84,12473,421,526,462,1191
2,FL-192,Flashing Lights,Legendary,Giga,Megatall,Medium,Far,116,92,8696,464,580,317,1215
4,FL-141,Flashing Lights,Legendary,Giga,Megatall,Far,Medium,105,84,13252,421,526,2413,577
4,FL-162,Flashing Lights,Legendary,Giga,Megatall,Far,Medium,111,89,13901,446,557,1966,548
6,FL-68,Flashing Lights,Legendary,Giga,Megatall,Far,Far,118,94,13901,474,592,761,1019
6,FL-112,Flashing Lights,Legendary,Giga,Megatall,Far,Far,107,85,28145,429,536,818,1091
6,FL-142,Flashing Lights,Legendary,Giga,Megatall,Far,Far,105,84,18064,421,526,1184,731
9,SM-263,Space Mind,Legendary,Giga,Megatall,Far,Close,109,87,17192,438,547,1574,136
10,SM-107,Space Mind,Legendary,Giga,Megatall,Far,Medium,111,89,14874,446,557,2049,415
11,FL-113,Flashing Lights,Legendary,Mammoth,Megatall,Medium,Far,116,92,8239,464,580,314,1467
12,FL-64,Flashing Lights,Legendary,Mega,Supertall,Far,Medium,94,75,6491,376,470,1947,507
13,FL-34,Flashing Lights,Legendary,Macro,Supertall,Far,Medium,89,71,5129,359,448,1227,352
14,NS-930,North Star,Legendary,Macro,Supertall,Medium,Far,86,68,5174,344,430,544,677
15,FL-81,Flashing Lights,Legendary,Mid,Supertall,Far,Medium,86,68,4038,344,430,2142,392
16,NS-800,North Star,Legendary,Mid,Supertall,Far,Medium,98,78,4300,392,490,2215,323
16,NS-882,North Star,Legendary,Mid,Supertall,Far,Medium,94,75,4270,376,470,848,468
18,FL-110,Flashing Lights,Legendary,Mini,Supertall,Medium,Far,86,68,3495,344,430,471,1363
19,FL-80,Flashing Lights,Legendary,Mini,Supertall,Far,Medium,82,66,3024,332,414,2251,305
20,FL-53,Flashing Lights,Legendary,Mini,Supertall,Far,Far,89,71,3279,359,448,794,824
21,DZ-61,District ZERO,Legendary,Mini,Supertall,Far,Far,84,67,3301,338,422,869,883
22,NS-736,North Star,Legendary,Mini,Supertall,Far,Medium,82,66,2813,332,414,1566,536
22,NS-804,North Star,Legendary,Mini,Supertall,Far,Medium,80,64,3040,320,400,1049,530
24,NS-799,North Star,Legendary,Mid,Tall,Far,Close,77,62,4182,311,388,2318,256
25,FL-58,Flashing Lights,Legendary,Mini,Tall,Medium,Far,77,62,2998,311,388,591,1049
26,FL-70,Flashing Lights,Mixed Use,Mega,Tall,Far,Far,71,57,6191,286,357,1794,667
27,LM-8,Little Meow,Mixed Use,Giga,Highrise,Medium,Far,43,34,8782,172,215,359,1069
28,DZ-33,District ZERO,Mixed Use,Macro,Tall,Far,Far,66,53,4939,265,331,831,873
29,FL-30,Flashing Lights,Mixed Use,Mid,Tall,Far,Close,67,53,4235,269,336,1859,143
30,NS-682,North Star,Mixed Use,Mid,Tall,Medium,Far,60,48,4135,243,303,417,1317
31,NS-729,North Star,Mixed Use,Mid,Tall,Far,Medium,63,50,3924,254,317,2026,550
32,NS-915,North Star,Mixed Use,Mid,Tall,Far,Far,73,58,3821,293,366,611,611
33,FL-117,Flashing Lights,Mixed Use,Mini,Tall,Far,Medium,67,54,2419,272,339,2760,308
34,FL-57,Flashing Lights,Mixed Use,Mini,Tall,Far,Far,64,52,3433,260,324,739,924
35,NS-939,North Star,Mixed Use,Mini,Tall,Medium,Far,64,52,3270,260,324,538,730
36,DZ-74,District ZERO,Mixed Use,Micro,Tall,Far,Far,62,49,2104,248,310,969,861
37,FL-19,Flashing Lights,Residential,Micro,Tall,Medium,Far,63,50,1577,254,317,353,1048
38,SM-504,Space Mind,Mixed Use,Mammoth,Highrise,Far,Close,46,36,7624,184,230,1649,232
39,NS-846,North Star,Mixed Use,Mammoth,Highrise,Far,Close,40,32,7423,162,202,1590,198
40,NX-22,Nexus,Industrial,Giga,Lowrise,Far,Far,8,6,13093,32,40,713,934
41,SM-601,Space Mind,Mixed Use,Mammoth,Midrise,Close,Far,35,28,7522,144,179,129,1507
42,DZ-141,District ZERO,Industrial,Giga,Lowrise,Medium,Far,9,7,21430,37,46,438,1388
43,TG-17,Tranquility Gardens,Industrial,Giga,Lowrise,Far,Close,9,7,13483,36,45,3734,139
44,SM-577,Space Mind,Mixed Use,Mega,Highrise,Far,Far,55,44,7169,222,277,830,742
45,HH-878,Haven Heights,Industrial,Giga,Lowrise,Medium,Far,9,7,9363,36,45,383,673
46,DZ-52,District ZERO,Industrial,Giga,Lowrise,Far,Medium,8,6,9097,32,40,1922,359
47,DZ-45,District ZERO,Industrial,Giga,Lowrise,Far,Far,8,6,8800,33,41,958,772
47,DZ-225,District ZERO,Industrial,Giga,Lowrise,Far,Far,8,6,10095,32,40,1006,1090
49,DZ-46,District ZERO,Mixed Use,Mammoth,Midrise,Far,Far,21,17,7778,87,108,760,961
50,HH-963,Haven Heights,Mixed Use,Mammoth,Midrise,Far,Medium,38,31,7914,155,193,782,551
51,NS-903,North Star,Mixed Use,Macro,Highrise,Medium,Far,45,36,5190,181,226,462,790
51,NS-931,North Star,Mixed Use,Macro,Highrise,Medium,Far,46,37,5323,188,234,453,766
53,FL-39,Flashing Lights,Mixed Use,Mid,Highrise,Far,Close,58,46,4363,233,291,2004,210
54,FL-63,Flashing Lights,Mixed Use,Mid,Highrise,Far,Medium,41,32,3866,164,205,2082,373
54,FL-90,Flashing Lights,Mixed Use,Mid,Highrise,Far,Medium,52,42,4603,212,264,2536,302
56,FL-56,Flashing Lights,Mixed Use,Mid,Highrise,Far,Far,48,38,4371,194,242,897,801
56,FL-99,Flashing Lights,Mixed Use,Mid,Highrise,Far,Far,45,36,4081,181,226,889,1077
56,FL-138,Flashing Lights,Mixed Use,Mid,Highrise,Far,Far,57,45,3800,228,285,1840,647
59,FL-133,Flashing Lights,Mixed Use,Mammoth,Lowrise,Far,Medium,19,16,7393,80,99,2709,361
60,SM-600,Space Mind,Mixed Use,Mega,Midrise,Close,Far,23,18,6846,92,115,185,1445
61,FL-161,Flashing Lights,Mixed Use,Mammoth,Lowrise,Far,Far,17,13,8021,69,86,616,1070
62,NS-924,North Star,Mixed Use,Mid,Highrise,Medium,Far,46,37,3851,188,234,434,768
63,NS-913,North Star,Mixed Use,Mid,Highrise,Far,Close,41,33,3684,168,209,1061,197
64,FL-66,Flashing Lights,Mixed Use,Mini,Highrise,Medium,Far,50,40,2551,200,250,344,1335
65,TG-2,Tranquility Gardens,Mixed Use,Mammoth,Lowrise,Far,Close,14,12,8031,60,74,2893,100
66,FL-158,Flashing Lights,Mixed Use,Mini,Highrise,Far,Medium,49,39,2557,197,246,1788,502
67,FL-47,Flashing Lights,Mixed Use,Mini,Highrise,Far,Far,49,39,3219,197,246,795,795
68,DZ-31,District ZERO,Mixed Use,Mammoth,Lowrise,Far,Far,14,11,8364,58,72,633,989
69,FL-14,Flashing Lights,Mixed Use,Micro,Highrise,Medium,Far,49,39,2398,197,246,438,931
70,NS-782,North Star,Mixed Use,Mammoth,Lowrise,Far,Medium,9,7,7228,36,45,2210,363
71,DZ-32,District ZERO,Mixed Use,Mini,Highrise,Medium,Far,51,40,3050,204,255,400,1133
72,SM-503,Space Mind,Mixed Use,Mini,Highrise,Far,Close,41,32,3004,164,205,1736,179
73,NS-925,North Star,Mixed Use,Mini,Highrise,Medium,Far,49,39,2659,197,246,339,865
73,NS-942,North Star,Mixed Use,Mini,Highrise,Medium,Far,48,38,2535,194,242,349,947
73,NS-943,North Star,Mixed Use,Mini,Highrise,Medium,Far,41,33,2535,168,209,312,981
76,SM-485,Space Mind,Industrial,Mammoth,Lowrise,Far,Close,9,7,7815,39,48,1676,278
77,DZ-40,District ZERO,Industrial,Mammoth,Lowrise,Far,Close,8,6,7266,32,40,2269,234
78,TG-10,Tranquility Gardens,Industrial,Mammoth,Lowrise,Far,Close,7,6,7202,30,37,2787,298
79,DZ-140,District ZERO,Mixed Use,Mini,Highrise,Far,Medium,46,37,2915,186,232,1319,474
80,TG-113,Tranquility Gardens,Mixed Use,Mini,Highrise,Far,Medium,50,40,3094,200,250,4484,463
81,DZ-101,District ZERO,Mixed Use,Mini,Highrise,Far,Far,41,33,3427,168,209,849,1022
81,DZ-115,District ZERO,Mixed Use,Mini,Highrise,Far,Far,57,45,2413,228,285,1319,670
83,SM-596,Space Mind,Industrial,Mammoth,Lowrise,Far,Medium,3,3,7499,15,18,1035,410
84,DZ-19,District ZERO,Industrial,Mammoth,Lowrise,Far,Medium,3,3,7443,15,18,1312,385
84,DZ-413,District ZERO,Industrial,Mammoth,Lowrise,Far,Medium,8,6,7323,32,40,1029,582
86,NS-896,North Star,Industrial,Mammoth,Lowrise,Far,Close,8,7,7929,35,43,1184,184
87,NS-759,North Star,Mixed Use,Mini,Highrise,Far,Medium,45,36,3020,181,226,1732,537
88,SM-546,Space Mind,Industrial,Mammoth,Lowrise,Far,Far,3,3,7401,15,18,955,719
88,SM-576,Space Mind,Industrial,Mammoth,Lowrise,Far,Far,9,7,7355,39,48,876,686
90,DZ-30,District ZERO,Industrial,Mammoth,Lowrise,Far,Far,8,6,8113,32,40,697,938
90,DZ-143,District ZERO,Industrial,Mammoth,Lowrise,Far,Far,8,6,8189,32,40,717,1066
90,DZ-155,District ZERO,Industrial,Mammoth,Lowrise,Far,Far,8,6,7960,32,40,1055,778
90,DZ-234,District ZERO,Industrial,Mammoth,Lowrise,Far,Far,8,6,7215,32,40,1398,809
94,NS-737,North Star,Industrial,Mammoth,Lowrise,Far,Medium,9,7,7801,36,45,1442,536
95,NS-709,North Star,Industrial,Mammoth,Lowrise,Far,Far,14,11,7303,59,73,1769,654
95,NS-907,North Star,Industrial,Mammoth,Lowrise,Far,Far,10,8,7372,40,50,615,635
97,NS-889,North Star,Mixed Use,Micro,Highrise,Far,Far,44,35,2382,178,222,602,674
98,NX-23,Nexus,Industrial,Mega,Lowrise,Medium,Far,4,3,6950,16,20,364,1261
99,FL-21,Flashing Lights,Residential,Micro,Highrise,Far,Close,48,39,1594,195,243,2456,129
100,FL-259,Flashing Lights,Mixed Use,Mega,Midrise,Far,Close,22,18,6059,91,113,3000,221
101,NX-2,Nexus,Commercial,Macro,Lowrise,Close,Far,4,3,5894,16,20,286,1094
102,FL-86,Flashing Lights,Mixed Use,Mega,Midrise,Far,Far,25,20,6233,100,125,993,973
103,NS-836,North Star,Mixed Use,Mega,Lowrise,Close,Far,4,4,6944,20,24,291,1029
104,SM-281,Space Mind,Mixed Use,Mega,Midrise,Far,Close,24,19,6792,98,122,1522,185
105,NS-923,North Star,Mixed Use,Mega,Midrise,Medium,Far,39,31,6571,157,196,531,671
106,NS-833,North Star,Mixed Use,Mega,Midrise,Far,Close,30,24,7032,124,154,1491,219
106,NS-877,North Star,Mixed Use,Mega,Midrise,Far,Close,31,25,6375,125,156,1963,238
106,NS-900,North Star,Mixed Use,Mega,Midrise,Far,Close,22,17,6365,89,111,1057,240
109,SM-571,Space Mind,Industrial,Mega,Lowrise,Close,Far,9,7,6400,36,45,288,1373
110,NS-788,North Star,Mixed Use,Mega,Midrise,Far,Medium,29,23,6068,119,148,1478,374
111,NX-3,Nexus,Commercial,Mid,Lowrise,Close,Far,6,4,4301,24,30,292,1144
112,FL-46,Flashing Lights,Mixed Use,Mega,Lowrise,Far,Medium,12,9,6612,48,60,1351,360
113,NX-11,Nexus,Commercial,Micro,Lowrise,Close,Far,4,3,1482,18,22,294,1063
113,NX-12,Nexus,Commercial,Micro,Lowrise,Close,Far,4,4,1482,20,24,267,1090
115,FL-9,Flashing Lights,Mixed Use,Macro,Midrise,Far,Medium,20,16,4976,82,102,923,468
115,FL-10,Flashing Lights,Mixed Use,Macro,Midrise,Far,Medium,39,32,5954,160,199,917,515
115,FL-45,Flashing Lights,Mixed Use,Macro,Midrise,Far,Medium,39,32,5202,160,199,1140,457
115,FL-92,Flashing Lights,Mixed Use,Macro,Midrise,Far,Medium,22,17,5040,89,111,2246,352
115,FL-135,Flashing Lights,Mixed Use,Macro,Midrise,Far,Medium,30,24,4899,124,154,2285,576
120,FL-166,Flashing Lights,Mixed Use,Macro,Midrise,Far,Far,27,21,5395,108,135,626,1023
121,FL-3,Flashing Lights,Industrial,Mega,Lowrise,Far,Close,15,12,6894,62,77,1238,116
122,NX-17,Nexus,Residential,Micro,Lowrise,Close,Far,4,3,1519,17,21,296,1070
122,NX-18,Nexus,Residential,Micro,Lowrise,Close,Far,7,6,1649,30,37,268,1099
124,NX-13,Nexus,Residential,Nano,Lowrise,Close,Far,4,3,999,16,20,242,1115
125,FL-62,Flashing Lights,Industrial,Mega,Lowrise,Far,Medium,12,10,6348,52,64,2138,319
126,FL-126,Flashing Lights,Industrial,Mega,Lowrise,Far,Far,12,9,6193,48,60,1352,761
127,NX-4,Nexus,Residential,Micro,Midrise,Medium,Far,24,19,1779,96,120,370,1050
127,NX-5,Nexus,Residential,Micro,Midrise,Medium,Far,22,18,2043,91,113,336,1082
129,NS-916,North Star,Mixed Use,Macro,Midrise,Medium,Far,24,19,5093,96,120,418,797
130,DZ-643,District ZERO,Industrial,Mega,Lowrise,Medium,Medium,5,4,6153,21,26,342,342
131,NS-866,North Star,Mixed Use,Macro,Midrise,Far,Close,27,22,5453,111,138,2222,229
131,NS-893,North Star,Mixed Use,Macro,Midrise,Far,Close,39,32,5757,160,199,1966,146
133,DZ-57,District ZERO,Industrial,Mega,Lowrise,Medium,Far,8,7,6033,35,43,451,1275
133,DZ-169,District ZERO,Industrial,Mega,Lowrise,Medium,Far,8,6,6777,32,40,363,1429
133,DZ-180,District ZERO,Industrial,Mega,Lowrise,Medium,Far,8,6,6316,32,40,366,1440
133,DZ-265,District ZERO,Industrial,Mega,Lowrise,Medium,Far,8,6,6556,32,40,541,1436
133,DZ-385,District ZERO,Industrial,Mega,Lowrise,Medium,Far,3,3,6167,15,18,445,1134
138,SM-161,Space Mind,Industrial,Mega,Lowrise,Far,Close,9,7,6353,38,47,2224,131
139,DZ-100,District ZERO,Mixed Use,Macro,Midrise,Far,Far,21,17,5198,85,106,937,962
140,NS-844,North Star,Mixed Use,Macro,Midrise,Far,Medium,23,18,4900,94,117,1801,311
140,NS-868,North Star,Mixed Use,Macro,Midrise,Far,Medium,37,30,5129,150,187,1006,393
140,NS-873,North Star,Mixed Use,Macro,Midrise,Far,Medium,22,18,4914,91,113,752,571
140,NS-897,North Star,Mixed Use,Macro,Midrise,Far,Medium,30,24,5014,124,154,906,366
140,NS-929,North Star,Mixed Use,Macro,Midrise,Far,Medium,24,19,4985,99,123,841,388
145,HH-942,Haven Heights,Mixed Use,Macro,Midrise,Far,Medium,20,16,5403,81,101,846,440
146,NS-937,North Star,Industrial,Mega,Lowrise,Medium,Far,14,11,6036,58,72,541,708
147,NS-761,North Star,Mixed Use,Macro,Midrise,Far,Far,25,20,5293,101,126,940,705
148,DZ-79,District ZERO,Industrial,Mega,Lowrise,Far,Medium,3,3,6661,15,18,1554,565
148,DZ-256,District ZERO,Industrial,Mega,Lowrise,Far,Medium,3,3,6953,15,18,1738,577
150,NS-781,North Star,Industrial,Mega,Lowrise,Far,Close,9,7,6398,37,46,2308,296
150,NS-872,North Star,Industrial,Mega,Lowrise,Far,Close,8,7,6808,36,44,1166,290
152,TG-520,Tranquility Gardens,Industrial,Mega,Lowrise,Far,Medium,8,7,6184,35,43,2635,550
153,DZ-65,District ZERO,Industrial,Mega,Lowrise,Far,Far,8,6,7035,32,40,1166,651
153,DZ-219,District ZERO,Industrial,Mega,Lowrise,Far,Far,10,8,6709,43,53,816,1210
153,DZ-254,District ZERO,Industrial,Mega,Lowrise,Far,Far,8,6,6644,32,40,1447,797
153,DZ-274,District ZERO,Industrial,Mega,Lowrise,Far,Far,8,6,6727,32,40,857,1121
157,FL-132,Flashing Lights,Residential,Micro,Midrise,Close,Far,26,21,2010,105,131,300,1411
157,FL-174,Flashing Lights,Residential,Micro,Midrise,Close,Far,21,17,1464,86,107,295,1288
159,SM-608,Space Mind,Commercial,Macro,Lowrise,Close,Far,4,3,5188,19,23,118,1785
160,SM-162,Space Mind,Commercial,Mega,Lowrise,Far,Close,4,3,6352,17,21,2133,138
161,TG-4,Tranquility Gardens,Commercial,Mega,Lowrise,Far,Close,5,4,6292,21,26,2796,205
161,TG-648,Tranquility Gardens,Commercial,Mega,Lowrise,Far,Close,4,3,7063,17,21,1896,124
163,NS-795,North Star,Commercial,Macro,Lowrise,Close,Far,4,3,5494,16,20,292,1099
164,DZ-126,District ZERO,Commercial,Mega,Lowrise,Far,Medium,4,3,7006,18,22,1580,334
165,FL-144,Flashing Lights,Mixed Use,Mid,Midrise,Medium,Far,32,25,3680,128,160,431,1278
166,NS-899,North Star,Commercial,Mega,Lowrise,Far,Close,6,5,7049,26,32,2227,110
